method,feature,rank,sample_index,abs_error,bias,clean_feature,reconstructed_feature
direct,baseline,1,10255,21.0,-21.0,154.0,133.0
direct,baseline,2,10194,13.0,13.0,148.0,161.0
direct,baseline,3,12963,12.0,-12.0,145.0,133.0
direct,baseline,4,13096,11.0,-11.0,146.0,135.0
direct,baseline,5,3921,10.0,-10.0,150.0,140.0
direct,baseline,6,25816,10.0,10.0,158.0,168.0
direct,baseline,7,14948,10.0,10.0,144.0,154.0
direct,baseline,8,6436,10.0,10.0,130.0,140.0
direct,baseline,9,4647,10.0,-10.0,143.0,133.0
direct,baseline,10,9015,10.0,-10.0,160.0,150.0
direct,stv,1,31920,43.701269154582214,-43.701269154582214,48.492210459027746,4.790941304445531
direct,stv,2,29780,17.550771354706058,-17.550771354706058,39.41851961001124,21.86774825530518
direct,stv,3,20900,17.45619157981377,-17.45619157981377,25.85162796947994,8.395436389666168
direct,stv,4,18859,11.263649056881125,11.263649056881125,29.823692526902153,41.08734158378328
direct,stv,5,25006,10.981725537980752,-10.981725537980752,25.79968648341862,14.817960945437866
direct,stv,6,2572,9.83298996396056,-9.83298996396056,35.0565392012114,25.22354923725084
direct,stv,7,2245,9.26535792904049,-9.26535792904049,62.91338041334322,53.64802248430273
direct,stv,8,20580,7.813838108779585,-7.813838108779585,14.869680730288257,7.055842621508672
direct,stv,9,9863,5.6452922800638845,-5.6452922800638845,22.250912725659948,16.605620445596063
direct,stv,10,29535,5.152985333900552,-5.152985333900552,10.428923168628152,5.275937834727601
direct,ltv,1,31920,552.9505130062157,-552.9505130062157,592.4805251351336,39.530012128917804
direct,ltv,2,20900,245.9295645625508,-245.9295645625508,303.293385185822,57.36382062327118
direct,ltv,3,29780,172.13665374468275,-172.13665374468275,283.6148192306873,111.47816548600457
direct,ltv,4,1035,130.18286081135045,-130.18286081135045,322.70055622417607,192.51769541282562
direct,ltv,5,20580,102.18760979415566,-102.18760979415566,135.90489011014114,33.71728031598548
direct,ltv,6,2245,84.84548881920762,-84.84548881920762,423.5813780018529,338.7358891826453
direct,ltv,7,9863,82.76052415288757,-82.76052415288757,219.45511105791127,136.6945869050237
direct,ltv,8,25006,81.88831461959461,-81.88831461959461,159.81919554857637,77.93088092898176
direct,ltv,9,2572,71.90242120813019,-71.90242120813019,233.8605233582175,161.9581021500873
direct,ltv,10,18859,57.711305419915504,-57.711305419915504,358.4225928353556,300.7112874154401
pred,baseline,1,10194,13.0,13.0,148.0,161.0
pred,baseline,2,18859,12.0,12.0,120.0,132.0
pred,baseline,3,28873,11.0,11.0,151.0,162.0
pred,baseline,4,10255,11.0,-11.0,154.0,143.0
pred,baseline,5,14948,10.0,10.0,144.0,154.0
pred,baseline,6,25816,10.0,10.0,158.0,168.0
pred,baseline,7,11652,9.0,-9.0,159.0,150.0
pred,baseline,8,3513,9.0,9.0,160.0,169.0
pred,baseline,9,24419,9.0,9.0,154.0,163.0
pred,baseline,10,25349,9.0,9.0,153.0,162.0
pred,stv,1,31920,44.725472813048114,-44.725472813048114,48.492210459027746,3.766737645979629
pred,stv,2,2245,26.625578732549883,-26.625578732549883,62.91338041334322,36.287801680793336
pred,stv,3,20900,17.376090004356058,-17.376090004356058,25.85162796947994,8.475537965123882
pred,stv,4,29780,16.554336260621994,-16.554336260621994,39.41851961001124,22.864183349389243
pred,stv,5,18859,15.417624964414859,15.417624964414859,29.823692526902153,45.24131749131701
pred,stv,6,9863,11.345554383977744,-11.345554383977744,22.250912725659948,10.905358341682204
pred,stv,7,31587,8.52197539041892,8.52197539041892,6.281479039957321,14.803454430376242
pred,stv,8,31,7.4822505851522045,-7.4822505851522045,23.327979322943236,15.845728737791031
pred,stv,9,280,5.649223742003375,-5.649223742003375,30.266096427835162,24.616872685831787
pred,stv,10,29535,5.196169771832244,-5.196169771832244,10.428923168628152,5.232753396795909
pred,ltv,1,31920,568.9703531781183,-568.9703531781183,592.4805251351336,23.510171957015245
pred,ltv,2,20900,245.88081235148076,-245.88081235148076,303.293385185822,57.41257283434123
pred,ltv,3,2245,199.71282477023857,-199.71282477023857,423.5813780018529,223.86855323161433
pred,ltv,4,29780,171.60088638066497,-171.60088638066497,283.6148192306873,112.01393285002234
pred,ltv,5,9863,161.14645788933507,-161.14645788933507,219.45511105791127,58.3086531685762
pred,ltv,6,280,84.78030771062049,-84.78030771062049,353.3886085092111,268.6083007985906
pred,ltv,7,31587,59.57400391033377,59.57400391033377,40.58252920334883,100.1565331136826
pred,ltv,8,31,56.06781361910083,-56.06781361910083,171.9205240606155,115.85271044151466
pred,ltv,9,31131,53.62077783075301,53.62077783075301,50.919419669978595,104.54019750073161
pred,ltv,10,1035,42.7990685454356,-42.7990685454356,322.70055622417607,279.90148767874047
gt,baseline,1,6004,13.0,13.0,131.0,144.0
gt,baseline,2,10194,13.0,13.0,148.0,161.0
gt,baseline,3,10255,11.0,-11.0,154.0,143.0
gt,baseline,4,4647,11.0,-11.0,143.0,132.0
gt,baseline,5,25350,11.0,-11.0,164.0,153.0
gt,baseline,6,3921,10.0,-10.0,150.0,140.0
gt,baseline,7,13595,10.0,-10.0,136.0,126.0
gt,baseline,8,18275,10.0,10.0,156.0,166.0
gt,baseline,9,18104,10.0,-10.0,170.0,160.0
gt,baseline,10,21662,10.0,10.0,143.0,153.0
gt,stv,1,27559,5.234724991186313,-5.234724991186313,14.752864185451063,9.51813919426475
gt,stv,2,31920,4.710662103365017,-4.710662103365017,48.492210459027746,43.78154835566273
gt,stv,3,14860,4.149903752366335,-4.149903752366335,18.521200384467917,14.371296632101583
gt,stv,4,26444,4.09501677717391,-4.09501677717391,24.2203102928244,20.12529351565049
gt,stv,5,4404,3.9158499512973055,-3.9158499512973055,10.972779955187745,7.0569300038904395
gt,stv,6,29780,3.878238649699682,-3.878238649699682,39.41851961001124,35.540280960311556
gt,stv,7,17977,3.765476667797066,-3.765476667797066,10.573584906387392,6.808108238590326
gt,stv,8,3367,3.7450520362952524,-3.7450520362952524,9.80249058491009,6.057438548614838
gt,stv,9,25021,3.7217599885559043,3.7217599885559043,14.785547331106914,18.507307319662818
gt,stv,10,13752,3.58261581905027,-3.58261581905027,13.065626493443931,9.483010674393661
gt,ltv,1,12698,37.93619930810206,-37.93619930810206,68.01030395309033,30.074104644988267
gt,ltv,2,27559,37.779594773841325,-37.779594773841325,83.1620914728847,45.38249669904337
gt,ltv,3,18859,29.10803601366416,29.10803601366416,358.4225928353556,387.53062884901976
gt,ltv,4,14860,28.585737958410277,-28.585737958410277,91.2665960556406,62.68085809723033
gt,ltv,5,3367,27.829562566668073,-27.829562566668073,56.07996612979639,28.250403563128316
gt,ltv,6,1035,26.694264738207778,26.694264738207778,322.70055622417607,349.39482096238385
gt,ltv,7,26441,25.420588793822844,-25.420588793822844,128.91343681875423,103.49284802493139
gt,ltv,8,27349,25.000764175990355,25.000764175990355,25.132135919655354,50.13290009564571
gt,ltv,9,19420,24.957280128194668,-24.957280128194668,64.63937854959681,39.682098421402145
gt,ltv,10,827,23.597159735357593,-23.597159735357593,93.2578735344232,69.6607137990656
