sample_id,reliability_score,has_halving,has_doubling,num_halving_segments,num_doubling_segments,halving_segments_json,doubling_segments_json,double_subtype_json,ratio_used_json,actual_mean_ratio_json,duration_sec_json,ceiling_used_json,baseline_strategy
clean_000000,99.895836,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000001,99.229164,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000002,99.8125,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000003,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000004,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000005,99.895836,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000006,99.9375,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000007,99.916664,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000008,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000009,99.895836,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000010,99.854164,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000011,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000012,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000013,99.604164,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000014,99.854164,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000015,99.895836,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000016,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000017,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000018,99.729164,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000019,99.916664,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000020,99.4375,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000021,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000022,99.9375,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000023,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000024,99.5,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000025,99.770836,0,1,0,1,[],"[{""region_type"": ""double"", ""double_subtype"": ""clipped"", ""start_idx"": 3727, ""end_idx"": 3753, ""duration_sec"": 6.5, ""ratio_used"": 1.9688, ""sigma_used"": 3.1375, ""transition_len_points"": 1, ""ceiling_used"": 228.495, ""mean_baseline"": 137.0, ""mean_noisy_value"": 224.283, ""actual_mean_ratio"": 1.663}]","[""clipped""]",[1.9688],[1.663],[6.5],[228.495],feature_optimized
clean_000026,99.9375,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000027,99.9375,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000028,100.0,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000029,99.895836,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
clean_000030,99.958336,0,0,0,0,[],[],[],[],[],[],[],feature_optimized
